2014-04-14 18:17:13,085 - Left side ($field.size()) of '>' operation has null value at VM_global_library.vm[line 82, column 22]
2014-04-14 18:17:13,085 - Left side ($field.size()) of '>' operation has null value at VM_global_library.vm[line 82, column 22]
2014-04-14 18:17:13,085 - Left side ($field.size()) of '>' operation has null value at VM_global_library.vm[line 82, column 22]
2014-04-14 18:17:13,085 - Left side ($field.size()) of '>' operation has null value at VM_global_library.vm[line 82, column 22]
2014-04-14 18:17:13,085 - Left side ($field.size()) of '>' operation has null value at VM_global_library.vm[line 82, column 22]
2014-04-14 18:17:13,088 - Left side ($pivots.size()) of '>' operation has null value at VM_global_library.vm[line 124, column 23]
2014-04-14 18:17:13,088 - Left side ($pivots.size()) of '>' operation has null value at VM_global_library.vm[line 124, column 23]
2014-04-14 18:17:13,088 - Left side ($pivots.size()) of '>' operation has null value at VM_global_library.vm[line 124, column 23]
2014-04-14 18:17:13,088 - Left side ($pivots.size()) of '>' operation has null value at VM_global_library.vm[line 124, column 23]
2014-04-14 18:17:13,088 - Left side ($pivots.size()) of '>' operation has null value at VM_global_library.vm[line 124, column 23]
2014-04-14 19:07:00,030 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:07:00,030 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:07:00,030 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:08:12,133 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:08:12,133 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:08:12,133 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:08:22,375 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:08:22,375 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:08:22,375 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
